NumEntries       104
Position         -27.874756 15.338562 -136.086395
XY               1.000000 -0.000000
Type             1
######################### 31 #########################
2dfxType         COVERPOINT
Position         -24.525879 15.338562 -136.086395
XY               -1.000000 -0.000000
Type             2
######################### 32 #########################
2dfxType         COVERPOINT
Position         -25.725952 14.138550 -136.086395
XY               0.000000 1.000000
Type             1
######################### 33 #########################
2dfxType         COVERPOINT
Position         -25.727661 25.170166 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 34 #########################
2dfxType         COVERPOINT
Position         -27.874756 23.197937 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 35 #########################
2dfxType         COVERPOINT
Position         -24.527588 23.197937 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 36 #########################
2dfxType         COVERPOINT
Position         -25.727661 21.997925 -136.083725
XY               0.000000 1.000000
Type             1
######################### 37 #########################
2dfxType         COVERPOINT
Position         -16.992432 25.171509 -136.083740
XY               -0.000001 -1.000000
Type             2
######################### 38 #########################
2dfxType         COVERPOINT
Position         -19.139771 23.198547 -136.083740
XY               1.000000 -0.000000
Type             1
######################### 39 #########################
2dfxType         COVERPOINT
Position         -15.792358 23.198547 -136.083740
XY               -1.000000 -0.000000
Type             2
######################### 40 #########################
2dfxType         COVERPOINT
Position         -16.992432 21.998535 -136.083740
XY               0.000000 1.000000
Type             1
######################### 41 #########################
2dfxType         COVERPOINT
Position         -8.259766 25.172546 -136.087280
XY               -0.000001 -1.000000
Type             2
######################### 42 #########################
2dfxType         COVERPOINT
Position         -10.401245 23.199585 -136.087280
XY               1.000000 -0.000000
Type             1
######################### 43 #########################
2dfxType         COVERPOINT
Position         -7.059692 23.199585 -136.087280
XY               -1.000000 -0.000000
Type             2
######################### 44 #########################
2dfxType         COVERPOINT
Position         -8.259766 21.999573 -136.087280
XY               0.000000 1.000000
Type             1
######################### 45 #########################
2dfxType         COVERPOINT
Position         0.471680 25.172607 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 46 #########################
2dfxType         COVERPOINT
Position         -1.671509 23.198303 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 47 #########################
2dfxType         COVERPOINT
Position         1.671753 23.198303 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 48 #########################
2dfxType         COVERPOINT
Position         0.471680 21.998291 -136.083725
XY               0.000000 1.000000
Type             1
######################### 49 #########################
2dfxType         COVERPOINT
Position         9.204590 25.172607 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 50 #########################
2dfxType         COVERPOINT
Position         7.059937 23.198303 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 51 #########################
2dfxType         COVERPOINT
Position         10.404663 23.198303 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 52 #########################
2dfxType         COVERPOINT
Position         9.204590 21.998291 -136.083725
XY               0.000000 1.000000
Type             1
######################### 53 #########################
2dfxType         COVERPOINT
Position         17.937134 25.172607 -136.086395
XY               -0.000001 -1.000000
Type             2
######################### 54 #########################
2dfxType         COVERPOINT
Position         15.792725 23.198792 -136.086395
XY               1.000000 -0.000000
Type             1
######################### 55 #########################
2dfxType         COVERPOINT
Position         19.137207 23.198792 -136.086395
XY               -1.000000 -0.000000
Type             2
######################### 56 #########################
2dfxType         COVERPOINT
Position         17.937134 21.998779 -136.086395
XY               0.000000 1.000000
Type             1
######################### 57 #########################
2dfxType         COVERPOINT
Position         26.672485 25.172607 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 58 #########################
2dfxType         COVERPOINT
Position         24.524658 23.199158 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 59 #########################
2dfxType         COVERPOINT
Position         27.872559 23.199158 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 60 #########################
2dfxType         COVERPOINT
Position         26.672485 21.999146 -136.083725
XY               0.000000 1.000000
Type             1
######################### 61 #########################
2dfxType         COVERPOINT
Position         26.673706 17.311096 -136.083740
XY               -0.000001 -1.000000
Type             2
######################### 62 #########################
2dfxType         COVERPOINT
Position         24.525879 15.338623 -136.083740
XY               1.000000 -0.000000
Type             1
######################### 63 #########################
2dfxType         COVERPOINT
Position         27.873779 15.338623 -136.083740
XY               -1.000000 -0.000000
Type             2
######################### 64 #########################
2dfxType         COVERPOINT
Position         26.673706 14.138611 -136.083740
XY               0.000000 1.000000
Type             1
######################### 65 #########################
2dfxType         COVERPOINT
Position         26.675049 9.446472 -136.087280
XY               -0.000001 -1.000000
Type             2
######################### 66 #########################
2dfxType         COVERPOINT
Position         24.527222 7.480591 -136.087280
XY               1.000000 -0.000000
Type             1
######################### 67 #########################
2dfxType         COVERPOINT
Position         27.875122 7.480591 -136.087280
XY               -1.000000 -0.000000
Type             2
######################### 68 #########################
2dfxType         COVERPOINT
Position         26.675049 6.280579 -136.087280
XY               0.000000 1.000000
Type             1
######################### 69 #########################
2dfxType         COVERPOINT
Position         26.675049 1.591125 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 70 #########################
2dfxType         COVERPOINT
Position         24.525757 -0.377686 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 71 #########################
2dfxType         COVERPOINT
Position         27.875122 -0.377686 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 72 #########################
2dfxType         COVERPOINT
Position         26.675049 -1.577698 -136.083725
XY               0.000000 1.000000
Type             1
######################### 73 #########################
2dfxType         COVERPOINT
Position         26.675171 -6.267212 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 74 #########################
2dfxType         COVERPOINT
Position         24.524658 -8.237366 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 75 #########################
2dfxType         COVERPOINT
Position         27.875244 -8.237366 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 76 #########################
2dfxType         COVERPOINT
Position         26.675171 -9.437378 -136.083725
XY               0.000000 1.000000
Type             1
######################### 77 #########################
2dfxType         COVERPOINT
Position         26.673584 -14.126770 -136.086395
XY               -0.000001 -1.000000
Type             2
######################### 78 #########################
2dfxType         COVERPOINT
Position         24.524780 -16.096558 -136.086395
XY               1.000000 -0.000000
Type             1
######################### 79 #########################
2dfxType         COVERPOINT
Position         27.873657 -16.096558 -136.086395
XY               -1.000000 -0.000000
Type             2
######################### 80 #########################
2dfxType         COVERPOINT
Position         26.673584 -17.296570 -136.086395
XY               0.000000 1.000000
Type             1
######################### 81 #########################
2dfxType         COVERPOINT
Position         17.938477 -21.986633 -136.083740
XY               -0.000001 -1.000000
Type             2
######################### 82 #########################
2dfxType         COVERPOINT
Position         15.791138 -23.959595 -136.083740
XY               1.000000 -0.000000
Type             1
######################### 83 #########################
2dfxType         COVERPOINT
Position         19.138550 -23.959595 -136.083740
XY               -1.000000 -0.000000
Type             2
######################### 84 #########################
2dfxType         COVERPOINT
Position         17.938477 -25.159607 -136.083740
XY               0.000000 1.000000
Type             1
######################### 85 #########################
2dfxType         COVERPOINT
Position         26.673584 -21.986145 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 86 #########################
2dfxType         COVERPOINT
Position         24.526489 -23.958374 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 87 #########################
2dfxType         COVERPOINT
Position         27.873657 -23.958374 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 88 #########################
2dfxType         COVERPOINT
Position         26.673584 -25.158386 -136.083725
XY               0.000000 1.000000
Type             1
######################### 89 #########################
2dfxType         COVERPOINT
Position         9.200073 -21.986938 -136.087280
XY               -0.000001 -1.000000
Type             2
######################### 90 #########################
2dfxType         COVERPOINT
Position         7.058594 -23.960754 -136.087280
XY               1.000000 -0.000000
Type             1
######################### 91 #########################
2dfxType         COVERPOINT
Position         10.400146 -23.960754 -136.087280
XY               -1.000000 -0.000000
Type             2
######################### 92 #########################
2dfxType         COVERPOINT
Position         9.200073 -25.160767 -136.087280
XY               0.000000 1.000000
Type             1
######################### 93 #########################
2dfxType         COVERPOINT
Position         0.470337 -21.986938 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 94 #########################
2dfxType         COVERPOINT
Position         -1.672852 -23.960754 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 95 #########################
2dfxType         COVERPOINT
Position         1.670410 -23.960754 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 96 #########################
2dfxType         COVERPOINT
Position         0.470337 -25.160767 -136.083725
XY               0.000000 1.000000
Type             1
######################### 97 #########################
2dfxType         COVERPOINT
Position         -8.260986 -21.986938 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 98 #########################
2dfxType         COVERPOINT
Position         -10.404175 -23.960754 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 99 #########################
2dfxType         COVERPOINT
Position         -7.060913 -23.960754 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 100 #########################
2dfxType         COVERPOINT
Position         -8.260986 -25.160767 -136.083725
XY               0.000000 1.000000
Type             1
######################### 101 #########################
2dfxType         COVERPOINT
Position         -16.992310 -21.986938 -136.086395
XY               -0.000001 -1.000000
Type             2
######################### 102 #########################
2dfxType         COVERPOINT
Position         -19.136719 -23.960754 -136.086395
XY               1.000000 -0.000000
Type             1
######################### 103 #########################
2dfxType         COVERPOINT
Position         -15.792236 -23.960754 -136.086395
XY               -1.000000 -0.000000
Type             2
######################### 104 #########################
2dfxType         COVERPOINT
Position         -16.992310 -25.160767 -136.086395
XY               0.000000 1.000000
Type             1
